Site,Year,Date,Snowd1,Snowd2,Snowd3,Snowd4,Snowd5,Snowd6,Snowd7,Snowd8,Snowd9,Snowd10
cakr,2011,27-May-11,0,0,0,0,0,0,0,0,0,0
cakr,2012,8-Jun-12,2,3,1,0,3,2,1,1,0,3
cari,2012,2-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,3-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,4-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,5-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,6-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,7-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,8-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,9-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,10-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,11-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,12-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,13-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,14-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,15-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,16-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,17-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,18-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,19-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,20-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,21-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,22-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,23-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,24-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,25-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,26-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,27-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,28-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,29-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,30-Jun-12,0,0,0,0,0,0,0,0,0,0
cari,2012,1-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,2-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,3-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,4-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,5-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,6-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,7-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,8-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,9-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,10-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,11-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,12-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,13-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,14-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,15-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,16-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2012,17-Jul-12,0,0,0,0,0,0,0,0,0,0
cari,2013,4-Jun-13,1,1,1,1,1,1,1,1,1,1
cari,2013,5-Jun-13,1,1,1,1,1,1,1,1,1,1
cari,2011,29-Jun-11,2.5,0,0,0,0,0,0,0,0,0
chau,2012,1-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,16-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,17-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,18-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,19-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,2-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,20-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,21-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,22-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,23-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,24-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,25-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,26-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,27-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,28-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,29-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,3-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,30-Jun-12,0,0,0,0,0,0,0,0,0,0
chau,2012,4-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,5-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,6-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,7-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,8-Jul-12,0,0,0,0,0,0,0,0,0,0
chau,2012,9-Jul-12,0,0,0,0,0,0,0,0,0,0
colv,2012,26-May-12,3,3,5,6,3,3,5,3,4,4
colv,2012,27-May-12,3,2.5,5,2,6,6,2,2,7,5
ikpi  ,2011,5-Jun-11,0,0,0,0,0,0,0,0,0,0
made,2013,8-Jun-13,0,0,0,0,0,0,0,0,0,0
cakr,2012,8-Jun-14,2,3,1,0,3,2,1,1,0,3
cakr,2012,8-Jun-14,2,3,1,0,3,2,1,1,0,3
cakr,2014,24-May-14,0,0,0,0,0,0,0,0,0,0
cakr,2014,25-May-14,0,0,0,0,0,0,0,0,0,0
cakr,2014,26-May-14,0,0,0,0,0,0,0,0,0,0
cari,2014,4-Jun-14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
chau,2014,13-Jun-14,1,0.5,1,1,1,0.5,0.5,1,2,0.5
cakr,2012,8-Jun-14,2,3,1,0,3,2,1,1,0,3
iglo,2014,,0,0,0,0,0,0,0,0,0,0
made,2014,6-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,7-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,8-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,9-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,10-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,11-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,12-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,13-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,14-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,15-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,16-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,17-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,18-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,19-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,20-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,21-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,22-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,23-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,24-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,25-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,26-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,27-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,28-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,29-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,30-Jun-14,0,0,0,0,0,0,0,0,0,0
made,2014,1-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,2-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,3-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,4-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,5-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,6-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,7-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,8-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,9-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,10-Jul-14,0,0,0,0,0,0,0,0,0,0
made,2014,11-Jul-14,0,0,0,0,0,0,0,0,0,0
