id,Order,Suborder,Family,Subfamily,Genus,Species,Phylogenetic.taxon,Guild,Plant.species,Date,Fs,Tr,Plot,Repl,site.label,group,in.code,fl.fam,pl.code
1,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710,s,w,14,3,s w 14,bee,apimel,Brassicaceae,horspi
2,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,icarus,Polyommatus,pollinator,Lotus corniculatus subsp glacialis,20150715,s,o,14,4,s o 14,butterfly,polica,Fabaceae,lotcor
3,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,w,14,2,h w 14,bee,apimel,Caryophyllaceae,aretet
4,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,Bombus_terrestris,pollinator,Leucanthemopsis pectinata,20150707,s,o,13,1,s o 13,bumblebee,bomlus,Asteraceae,leupec
5,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150709,h,a,13,2,h a 13,bee,spipan,Caryophyllaceae,aretet
6,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708,s,a,2,2,s a 2,bee,apimel,Brassicaceae,horspi
7,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711,s,w,3,3,s w 3,hoverfly,scaalb,Brassicaceae,horspi
8,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716,h,o,8,5,h o 8,bee,megpar,Fabaceae,antvul
9,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,Bracon,parasitoid,Hormathophylla spinosa,20150706,s,a,9,1,s a 9,,braspa,Brassicaceae,horspi
10,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706,s,a,9,1,s a 9,,galesp,Brassicaceae,horspi
11,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716,s,w,2,5,s w 2,hoverfly,scaalb,Brassicaceae,horspi
12,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724,h,o,5,8,h o 5,bee,apimel,Lamiaceae,sidgla
13,Lepidoptera,Rhopalocera,Nymphalidae,Nymphalinae,Nymphalis,urticae,Aglais_urticae,pollinator,Arenaria tetraquetra subsp amabilis,20150717,h,a,1,5,h a 1,butterfly,nymurt,Caryophyllaceae,aretet
14,Diptera,Nematocera,Bibionidae,Bibioninae,Dilophus,femoratus,Dilophus_femoratus,scavenger,Jasione amethystina,20150710,h,w,11,3,h w 11,,dilfem,Campanulaceae,jasame
15,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708,h,o,7,2,h o 7,bee,megasp,Fabaceae,antvul
16,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717,h,o,5,5,h o 5,bee,apimel,Lamiaceae,sidgla
17,Diptera,Brachycera,Tabanidae,Tabaninae,Haematopota,sp,Haematopota,predator,Arenaria tetraquetra subsp amabilis,20150724,h,a,7,8,h a 7,,haemsp,Caryophyllaceae,aretet
18,Diptera,Brachycera,Sarcophagidae,Paramacronychiinae,Wohlfahrtia,bella,Wohlfahrtia_bella,pollinator,Arenaria tetraquetra subsp amabilis,20150710,h,a,12,3,h a 12,fly,wohbel,Caryophyllaceae,aretet
19,Diptera,Brachycera,Muscidae,Muscinae,Neomyia,cornicina,Neomyia_cornicina,pollinator,Hormathophylla spinosa,20150719,s,a,8,6,s a 8,fly,neocor,Brassicaceae,horspi
20,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,Thricops,pollinator,Leucanthemopsis pectinata,20150708,s,o,13,2,s o 13,fly,thrcul,Asteraceae,leupec
21,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,spB,Malachiinae,herbivore,Leucanthemopsis pectinata,20150708,s,o,13,2,s o 13,,malspb,Asteraceae,leupec
22,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150714,s,w,2,4,s w 2,hoverfly,eriten,Brassicaceae,horspi
23,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706,s,w,1,1,s w 1,,galesp,Brassicaceae,horspi
24,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706,s,w,1,1,s w 1,,galesp,Brassicaceae,horspi
25,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150716,h,a,8,5,h a 8,,chespa,Caryophyllaceae,aretet
26,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,Anthidium_montanum,pollinator,Lotus corniculatus subsp glacialis,20150727,s,o,14,9,s o 14,bee,antmon,Fabaceae,lotcor
27,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,spB,Malachiinae,predator,Arenaria tetraquetra subsp amabilis,20150714,h,w,13,4,h w 13,,malspb,Caryophyllaceae,aretet
28,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Hormathophylla spinosa,20150708,s,a,3,2,s a 3,,sciasp,Brassicaceae,horspi
29,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716,s,w,6,5,s w 6,hoverfly,scaalb,Brassicaceae,horspi
30,Diptera,Brachycera,Chloropidae,sp,sp,sp,Chloropidae,herbivore,Hormathophylla spinosa,20150716,s,w,6,5,s w 6,,chlsp,Brassicaceae,horspi
31,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706,h,w,13,1,h w 13,bee,apimel,Caryophyllaceae,aretet
32,Diptera,Brachycera,Bombyliidae,spB,spB,spB,Bombyliidae,pollinator,Jasione amethystina,20150706,h,w,3,1,h w 3,fly,bomspb,Campanulaceae,jasame
33,Hymenoptera,Aculeata,Megachilidae,Malachiinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150714,s,w,11,4,s w 11,bee,hopmit,Campanulaceae,jasame
34,Hymenoptera,Aculeata,Crabronidae,sp,sp,sp,Crabronidae,predator,Jasione amethystina,20150710,h,w,3,3,h w 3,,crabsp,Campanulaceae,jasame
35,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,a,3,1,h a 3,,spipan,Caryophyllaceae,aretet
36,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150717,h,a,7,5,h a 7,butterfly,scyibe,Caryophyllaceae,aretet
37,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150710,h,w,11,3,h w 11,butterfly,scyibe,Caryophyllaceae,aretet
38,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,majuscula,Meigenia_majuscula,parasitoid,Lotus corniculatus subsp glacialis,20150706,h,w,13,1,h w 13,,meimaj,Fabaceae,lotcor
39,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,neocynipsea,Sepsis,scavenger,Arenaria tetraquetra subsp amabilis,20150715,h,w,1,4,h w 1,,sepneo,Caryophyllaceae,aretet
40,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,agilissima,Andrena,pollinator,Hormathophylla spinosa,20150716,s,a,9,5,s a 9,bee,andagi,Brassicaceae,horspi
41,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,a,1,2,h a 1,bee,apimel,Caryophyllaceae,aretet
42,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150706,s,w,2,1,s w 2,,gelfos,Brassicaceae,horspi
43,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,a,8,1,h a 8,bee,apimel,Caryophyllaceae,aretet
44,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708,h,o,2,2,h o 2,bee,hopmit,Fabaceae,antvul
45,Diptera,Brachycera,Bombyliidae,spB,spB,spB,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150709,h,a,11,2,h a 11,fly,bomspb,Caryophyllaceae,aretet
46,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,biphaleratus,Ancistrocerus,predator,Hormathophylla spinosa,20150724,s,a,13,8,s a 13,,ancbip,Brassicaceae,horspi
47,Hymenoptera,Aculeata,Formicidae,sp,sp,sp,Formicidae,herbivore,Hormathophylla spinosa,20150724,s,a,13,8,s a 13,,formsp,Brassicaceae,horspi
48,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,Bombus_terrestris,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708,h,o,9,2,h o 9,bumblebee,bomlus,Fabaceae,antvul
49,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Jasione amethystina,20150709,h,w,11,2,h w 11,,gelfos,Campanulaceae,jasame
50,Diptera,Brachycera,Rhinophoridae,sp,Phyto,sp,Phyto,parasitoid,Hormathophylla spinosa,20150710,s,a,1,3,s a 1,,phytsp,Brassicaceae,horspi
51,Diptera,Brachycera,Syrphidae,Eristalinae,Eumerus,tarsalis,Eumerus,pollinator,Jasione amethystina,20150710,h,o,2,3,h o 2,hoverfly,eumtar,Campanulaceae,jasame
52,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150727,s,o,13,9,s o 13,bee,pancep,Asteraceae,leupec
53,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727,s,o,13,9,s o 13,butterfly,scyibe,Asteraceae,leupec
54,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Lotus corniculatus subsp glacialis,20150717,s,w,14,5,s w 14,bee,hopmit,Fabaceae,lotcor
55,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706,s,a,2,1,s a 2,bee,apimel,Brassicaceae,horspi
56,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,tessellum,Macquartia_tessellum,parasitoid,Arenaria tetraquetra subsp amabilis,20150709,h,w,10,2,h w 10,,mactes,Caryophyllaceae,aretet
57,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150709,h,w,10,2,h w 10,bee,lascup,Caryophyllaceae,aretet
58,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Arenaria tetraquetra subsp amabilis,20150706,h,a,12,1,h a 12,hoverfly,scaalb,Caryophyllaceae,aretet
59,Hymenoptera,Aculeata,Formicidae,sp,sp,sp,Formicidae,herbivore,Arenaria tetraquetra subsp amabilis,20150708,h,w,2,2,h w 2,,formsp,Caryophyllaceae,aretet
60,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,Thricops,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,w,2,2,h w 2,fly,thrcul,Caryophyllaceae,aretet
61,Diptera,Brachycera,Rhinophoridae,sp,Phyto,sp,Phyto,parasitoid,Jasione amethystina,20150708,h,w,1,2,h w 1,,phytsp,Campanulaceae,jasame
62,Hymenoptera,Aculeata,Crabronidae,sp,sp,sp,Crabronidae,predator,Anthyllis vulneraria subsp pseudoarundana,20150710,h,w,9,3,h w 9,,crabsp,Fabaceae,antvul
63,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,vestalis,Bombus_vestalis,pollinator,Arenaria tetraquetra subsp amabilis,20150715,h,a,8,4,h a 8,bee,bomves,Caryophyllaceae,aretet
64,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Sideritis glacialis,20150708,h,w,9,2,h w 9,bee,hopmit,Lamiaceae,sidgla
65,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,Megachile,pollinator,Sideritis glacialis,20150708,h,w,9,2,h w 9,bee,megasp,Lamiaceae,sidgla
66,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,Bombus_terrestris,pollinator,Sideritis glacialis,20150727,s,o,8,9,s o 8,bee,bomlun,Lamiaceae,sidgla
67,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150707,h,w,6,1,h w 6,bee,hopmit,Campanulaceae,jasame
68,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,ibericus,Hylaeus,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,a,1,2,h a 1,bee,hylibe,Caryophyllaceae,aretet
69,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,Anthidium_montanum,pollinator,Hormathophylla spinosa,20150717,s,a,7,5,s a 7,bee,antmon,Brassicaceae,horspi
70,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Hormathophylla spinosa,20150717,s,a,7,5,s a 7,bee,lascup,Brassicaceae,horspi
71,Diptera,Brachycera,Bombyliidae,spA,spA,spA,Bombyliidae,pollinator,Hormathophylla spinosa,20150716,s,w,9,5,s w 9,fly,bomspa,Brassicaceae,horspi
72,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150717,s,o,14,5,s o 14,bee,megpar,Fabaceae,lotcor
73,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris terrestris,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,w,8,1,h w 8,bee,bomter,Caryophyllaceae,aretet
74,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,w,8,1,h w 8,bee,apimel,Caryophyllaceae,aretet
75,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,spA,Agrilus,herbivore,Sideritis glacialis,20150718,h,w,9,6,h w 9,,agrspa,Lamiaceae,sidgla
76,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150718,s,w,3,6,s w 3,butterfly,scyibe,Caryophyllaceae,aretet
77,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150718,s,w,3,6,s w 3,butterfly,scyibe,Caryophyllaceae,aretet
78,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706,h,a,12,1,h a 12,,spipan,Caryophyllaceae,aretet
79,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715,h,o,1,4,h o 1,bee,megpar,Fabaceae,antvul
80,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727,s,o,13,9,s o 13,butterfly,scyibe,Asteraceae,leupec
81,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727,s,o,13,9,s o 13,butterfly,scyibe,Asteraceae,leupec
82,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,carbonaria,Andrena,pollinator,Hormathophylla spinosa,20150708,s,a,11,2,s a 11,bee,andcar,Brassicaceae,horspi
83,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150707,s,a,14,1,s a 14,hoverfly,scaalb,Brassicaceae,horspi
84,Diptera,Brachycera,Muscidae,Phaoniinae,Phaonia,scutellata,Phaonia,pollinator,Hormathophylla spinosa,20150707,s,a,14,1,s a 14,fly,phascu,Brassicaceae,horspi
85,Diptera,Brachycera,Bombyliidae,spA,spA,spA,Bombyliidae,pollinator,Hormathophylla spinosa,20150716,s,a,6,5,s a 6,fly,bomspa,Brassicaceae,horspi
86,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris terrestris,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,a,7,2,h a 7,bee,bomter,Caryophyllaceae,aretet
87,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150708,h,a,7,2,h a 7,bee,lascup,Caryophyllaceae,aretet
88,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,ravouxi,Hoplitis_ravouxi,pollinator,Lotus corniculatus subsp glacialis,20150711,s,w,14,3,s w 14,bee,hoprav,Fabaceae,lotcor
89,Diptera,Nematocera,Sciaridae,sp,sp,sp,Sciaridae,scavenger,Jasione amethystina,20150707,h,w,10,1,h w 10,,sciasp,Campanulaceae,jasame
90,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,Bracon,parasitoid,Hormathophylla spinosa,20150707,s,w,8,1,s w 8,,braspa,Brassicaceae,horspi
91,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150727,s,o,5,9,s o 5,bee,pancep,Asteraceae,leupec
92,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150714,h,a,14,4,h a 14,hoverfly,eriten,Caryophyllaceae,aretet
93,Hymenoptera,parasitica,Eurytomidae,Eurytominae,Bruchophagus,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150707,h,o,10,1,h o 10,,bruchsp,Fabaceae,antvul
94,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,Scythris,pollinator,Crepis oporinoides,20150724,s,o,14,8,s o 14,butterfly,scyibe,Asteraceae,creopo
95,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706,h,o,7,1,h o 7,bee,lascup,Fabaceae,antvul
96,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,Panurgus_cephalotes,pollinator,Leontodon boryi,20150719,h,w,14,6,h w 14,bee,pancep,Asteraceae,leobor
97,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,a,1,1,h a 1,bee,apimel,Caryophyllaceae,aretet
98,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707,h,a,1,1,h a 1,bee,apimel,Caryophyllaceae,aretet
99,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,spA,Chelonus,parasitoid,Lotus corniculatus subsp glacialis,20150715,s,o,14,4,s o 14,,chespa,Fabaceae,lotcor
100,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150708,s,a,6,2,s a 6,,gelfos,Brassicaceae,horspi
101,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150714,h,w,9,4,h w 9,hoverfly,eriten,Caryophyllaceae,aretet
102,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Chaenorhinum glareosum,20150706,s,w,3,1,s w 3,bee,lascup,Scrophulariaceae,chagla
103,Diptera,Brachycera,Muscidae,Phaoniinae,Helina,annosa,Helina_annosa,pollinator,Hormathophylla spinosa,20150708,s,a,13,2,s a 13,fly,phaann,Brassicaceae,horspi
104,Coleoptera,Polyphaga,Melyridae,Dasytinae,Enicopus,sp,Enicopus,pollinator,Hormathophylla spinosa,20150708,s,w,2,2,s w 2,other,enicsp,Brassicaceae,horspi
105,Diptera,Brachycera,Bombyliidae,spB,spB,spB,Bombyliidae,pollinator,Lotus corniculatus subsp glacialis,20150706,h,w,12,1,h w 12,fly,bomspb,Fabaceae,lotcor
106,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spB,Bracon,parasitoid,Hormathophylla spinosa,20150708,s,a,1,2,s a 1,,braspb,Brassicaceae,horspi
107,Hymenoptera,Aculeata,Bethylidae,sp,sp,sp,Bethylidae,parasitoid,Hormathophylla spinosa,20150708,s,a,1,2,s a 1,,bethsp,Brassicaceae,horspi
108,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Anthyllis vulneraria subsp pseudoarundana,20150706,h,o,3,1,h o 3,,gelfos,Fabaceae,antvul
109,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,Lasioglossum,pollinator,Leucanthemopsis pectinata,20150716,h,w,6,5,h w 6,bee,lascup,Asteraceae,leupec
110,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150715,h,w,6,4,h w 6,,gelfos,Caryophyllaceae,aretet
111,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,valga,Xylocopa_valga,pollinator,Arenaria tetraquetra subsp amabilis,20150716,h,w,12,5,h w 12,bee,xylval,Caryophyllaceae,aretet
112,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150710,h,a,7,3,h a 7,hoverfly,eriten,Caryophyllaceae,aretet
113,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150710,h,a,7,3,h a 7,,gelfor,Caryophyllaceae,aretet
114,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,spB,Agrilus,herbivore,Sideritis glacialis,20150715,s,o,8,4,s o 8,,agrspb,Lamiaceae,sidgla
115,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,spA,Agrilus,herbivore,Sideritis glacialis,20150715,s,o,8,4,s o 8,,agrspa,Lamiaceae,sidgla
116,Hymenoptera,Aculeata,Pompilidae,spC,spC,spC,Pompilidae,predator,Jasione amethystina,20150706,h,o,12,1,h o 12,,pomspc,Campanulaceae,jasame
