id,Order,Suborder,Family,Species,Phylogenetic.taxon,Guild,Plant.species,Date
1,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150710
2,Lepidoptera,Rhopalocera,Lycaenidae,icarus,Polyommatus,pollinator,Lotus corniculatus subsp glacialis,20150715
3,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
4,Hymenoptera,Aculeata,Apidae,terrestris lusitanicus,Bombus_terrestris,pollinator,Leucanthemopsis pectinata,20150707
5,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150709
6,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
7,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711
8,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716
9,Hymenoptera,parasitica,Braconidae,spA,Bracon,parasitoid,Hormathophylla spinosa,20150706
10,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706
11,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716
12,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150724
13,Lepidoptera,Rhopalocera,Nymphalidae,urticae,Aglais_urticae,pollinator,Arenaria tetraquetra subsp amabilis,20150717
14,Diptera,Nematocera,Bibionidae,femoratus,Dilophus_femoratus,scavenger,Jasione amethystina,20150710
15,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708
16,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150717
17,Diptera,Brachycera,Tabanidae,sp,Haematopota,predator,Arenaria tetraquetra subsp amabilis,20150724
18,Diptera,Brachycera,Sarcophagidae,bella,Wohlfahrtia_bella,pollinator,Arenaria tetraquetra subsp amabilis,20150710
19,Diptera,Brachycera,Muscidae,cornicina,Neomyia_cornicina,pollinator,Hormathophylla spinosa,20150719
20,Diptera,Brachycera,Muscidae,culminum,Thricops,pollinator,Leucanthemopsis pectinata,20150708
21,Coleoptera,Polyphaga,Malachiidae,spB,Malachiinae,herbivore,Leucanthemopsis pectinata,20150708
22,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150714
23,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706
24,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706
25,Hymenoptera,parasitica,Braconidae,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150716
26,Hymenoptera,Aculeata,Megachilidae,montanum,Anthidium_montanum,pollinator,Lotus corniculatus subsp glacialis,20150727
27,Coleoptera,Polyphaga,Malachiidae,spB,Malachiinae,predator,Arenaria tetraquetra subsp amabilis,20150714
28,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Hormathophylla spinosa,20150708
29,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150716
30,Diptera,Brachycera,Chloropidae,sp,Chloropidae,herbivore,Hormathophylla spinosa,20150716
31,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
32,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Jasione amethystina,20150706
33,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150714
34,Hymenoptera,Aculeata,Crabronidae,sp,Crabronidae,predator,Jasione amethystina,20150710
35,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706
36,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150717
37,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150710
38,Diptera,Brachycera,Tachinidae,majuscula,Meigenia_majuscula,parasitoid,Lotus corniculatus subsp glacialis,20150706
39,Diptera,Brachycera,Sepsidae,neocynipsea,Sepsis,scavenger,Arenaria tetraquetra subsp amabilis,20150715
40,Hymenoptera,Aculeata,Andrenidae,agilissima,Andrena,pollinator,Hormathophylla spinosa,20150716
41,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
42,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150706
43,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
44,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708
45,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150709
46,Hymenoptera,Aculeata,Vespidae,biphaleratus,Ancistrocerus,predator,Hormathophylla spinosa,20150724
47,Hymenoptera,Aculeata,Formicidae,sp,Formicidae,herbivore,Hormathophylla spinosa,20150724
48,Hymenoptera,Aculeata,Apidae,terrestris lusitanicus,Bombus_terrestris,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150708
49,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Jasione amethystina,20150709
50,Diptera,Brachycera,Rhinophoridae,sp,Phyto,parasitoid,Hormathophylla spinosa,20150710
51,Diptera,Brachycera,Syrphidae,tarsalis,Eumerus,pollinator,Jasione amethystina,20150710
52,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150727
53,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727
54,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Lotus corniculatus subsp glacialis,20150717
55,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
56,Diptera,Brachycera,Tachinidae,tessellum,Macquartia_tessellum,parasitoid,Arenaria tetraquetra subsp amabilis,20150709
57,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150709
58,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Arenaria tetraquetra subsp amabilis,20150706
59,Hymenoptera,Aculeata,Formicidae,sp,Formicidae,herbivore,Arenaria tetraquetra subsp amabilis,20150708
60,Diptera,Brachycera,Muscidae,culminum,Thricops,pollinator,Arenaria tetraquetra subsp amabilis,20150708
61,Diptera,Brachycera,Rhinophoridae,sp,Phyto,parasitoid,Jasione amethystina,20150708
62,Hymenoptera,Aculeata,Crabronidae,sp,Crabronidae,predator,Anthyllis vulneraria subsp pseudoarundana,20150710
63,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Arenaria tetraquetra subsp amabilis,20150715
64,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Sideritis glacialis,20150708
65,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Sideritis glacialis,20150708
66,Hymenoptera,Aculeata,Apidae,terrestris lusitanicus,Bombus_terrestris,pollinator,Sideritis glacialis,20150727
67,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150707
68,Hymenoptera,Aculeata,Colletidae,ibericus,Hylaeus,pollinator,Arenaria tetraquetra subsp amabilis,20150708
69,Hymenoptera,Aculeata,Megachilidae,montanum,Anthidium_montanum,pollinator,Hormathophylla spinosa,20150717
70,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Hormathophylla spinosa,20150717
71,Diptera,Brachycera,Bombyliidae,spA,Bombyliidae,pollinator,Hormathophylla spinosa,20150716
72,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150717
73,Hymenoptera,Aculeata,Apidae,terrestris terrestris,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150707
74,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
75,Coleoptera,Polyphaga,Buprestidae,spA,Agrilus,herbivore,Sideritis glacialis,20150718
76,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150718
77,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150718
78,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706
79,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715
80,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727
81,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150727
82,Hymenoptera,Aculeata,Andrenidae,carbonaria,Andrena,pollinator,Hormathophylla spinosa,20150708
83,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150707
84,Diptera,Brachycera,Muscidae,scutellata,Phaonia,pollinator,Hormathophylla spinosa,20150707
85,Diptera,Brachycera,Bombyliidae,spA,Bombyliidae,pollinator,Hormathophylla spinosa,20150716
86,Hymenoptera,Aculeata,Apidae,terrestris terrestris,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150708
87,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150708
88,Hymenoptera,Aculeata,Megachilidae,ravouxi,Hoplitis_ravouxi,pollinator,Lotus corniculatus subsp glacialis,20150711
89,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Jasione amethystina,20150707
90,Hymenoptera,parasitica,Braconidae,spA,Bracon,parasitoid,Hormathophylla spinosa,20150707
91,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leucanthemopsis pectinata,20150727
92,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150714
93,Hymenoptera,parasitica,Eurytomidae,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150707
94,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Crepis oporinoides,20150724
95,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
96,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leontodon boryi,20150719
97,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
98,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
99,Hymenoptera,parasitica,Braconidae,spA,Chelonus,parasitoid,Lotus corniculatus subsp glacialis,20150715
100,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150708
101,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150714
102,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Chaenorhinum glareosum,20150706
103,Diptera,Brachycera,Muscidae,annosa,Helina_annosa,pollinator,Hormathophylla spinosa,20150708
104,Coleoptera,Polyphaga,Melyridae,sp,Enicopus,pollinator,Hormathophylla spinosa,20150708
105,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Lotus corniculatus subsp glacialis,20150706
106,Hymenoptera,parasitica,Braconidae,spB,Bracon,parasitoid,Hormathophylla spinosa,20150708
107,Hymenoptera,Aculeata,Bethylidae,sp,Bethylidae,parasitoid,Hormathophylla spinosa,20150708
108,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Anthyllis vulneraria subsp pseudoarundana,20150706
109,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Leucanthemopsis pectinata,20150716
110,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150715
111,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Arenaria tetraquetra subsp amabilis,20150716
112,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150710
113,Hymenoptera,parasitica,Ichneumonidae,forticornis,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150710
114,Coleoptera,Endopterygota,Buprestidae,spB,Agrilus,herbivore,Sideritis glacialis,20150715
115,Coleoptera,Endopterygota,Buprestidae,spA,Agrilus,herbivore,Sideritis glacialis,20150715
116,Hymenoptera,Aculeata,Pompilidae,spC,Pompilidae,predator,Jasione amethystina,20150706
117,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150708
118,Hymenoptera,Aculeata,Halictidae,gemmeus,Halictus,pollinator,Jasione amethystina,20150707
119,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150706
120,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709
121,Hymenoptera,Aculeata,Colletidae,schmidi,Colletes,pollinator,Hormathophylla spinosa,20150727
122,Hymenoptera,parasitica,Ichneumonidae,sp,Campopleginae,parasitoid,Hormathophylla spinosa,20150719
123,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150715
124,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150717
125,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150717
126,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
127,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
128,Hymenoptera,parasitica,Braconidae,spA,Bracon,parasitoid,Anthyllis vulneraria subsp pseudoarundana,20150708
129,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Leucanthemopsis pectinata,20150724
130,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150708
131,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150708
132,Hymenoptera,parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150708
133,Hymenoptera,Parasitica,Ichneumonidae,forticornis,Gelis,parasitoid,Hormathophylla spinosa,20150708
134,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150708
135,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150716
136,Coleoptera,Polyphaga,Malachiidae,spA,Malachiinae,predator,Leucanthemopsis pectinata,20150714
137,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150706
138,Coleoptera,Polyphaga,Melyridae,sp,Aplocnemus,herbivore,Arenaria tetraquetra subsp amabilis,20150706
139,Hymenoptera,Aculeata,Mutilidae,sp,Mutillidae,pollinator,Arenaria tetraquetra subsp amabilis,20150706
140,Hymenoptera,Parasitica,Eurytomidae,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150717
141,Coleoptera,Polyphaga,Coccinellidae,sp,Hippodamia,predator,Anthyllis vulneraria subsp pseudoarundana,20150709
142,Hymenoptera,Aculeata,Megachilidae,montanum,Anthidium_montanum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709
143,Hymenoptera,Parasitica,Braconidae,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150715
144,Coleoptera,Polyphaga,Meloidae,sp,Mylabris,parasitoid,Leontodon boryi,20150727
145,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Leontodon boryi,20150710
146,Hymenoptera,Aculeata,Andrenidae,agilissima,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150727
147,Hymenoptera,Aculeata,Halictidae,paradoxa nivalis,Dufourea_paradoxa,pollinator,Arenaria tetraquetra subsp amabilis,20150727
148,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
149,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
150,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150716
151,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150707
152,Hymenoptera,Parasitica,Ichneumonidae,forticornis,Gelis,parasitoid,Jasione amethystina,20150707
153,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
154,Hymenoptera,Aculeata,Chrysididae,sp,Chrysididae,parasitoid,Anthyllis vulneraria subsp pseudoarundana,20150709
155,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Leontodon boryi,20150707
156,Hymenoptera,Aculeata,Andrenidae,micrandrena sp,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150727
