id,Order,Suborder,Family,Species,Phylogenetic.taxon,Guild,Plant.species,Date
157,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Hormathophylla spinosa,20150715
158,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Hormathophylla spinosa,20150715
159,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150706
160,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Hormathophylla spinosa,20150706
161,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150707
162,Coleoptera,Polyphaga,Cantharidae,sp,Malthinus,predator,Hormathophylla spinosa,20150707
163,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150714
164,Diptera,Brachycera,Muscidae,pratorum,Eudasyphora,pollinator,Hormathophylla spinosa,20150716
165,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150727
166,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Biscutella glacialis,20150706
167,Hymenoptera,Aculeata,Pompilidae,spA,Pompilidae,predator,Hormathophylla spinosa,20150727
168,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724
169,Diptera,Brachycera,Bombyliidae,spA,Bombyliidae,pollinator,Leucanthemopsis pectinata,20150727
170,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150709
171,Coleoptera,Polyphaga,Chrysomelidae,sp,Timarcha,herbivore,Hormathophylla spinosa,20150716
172,Hymenoptera,Aculeata,Colletidae,schmidi,Colletes,pollinator,Lotus corniculatus subsp glacialis,20150727
173,Hemiptera,Auchenorrhyncha,Cicadoidea,sp,Cicadoidea,herbivore,Arenaria tetraquetra subsp amabilis,20150706
174,Diptera,Brachycera,Muscidae,vitripennis,Musca_vitripennis,pollinator,Arenaria tetraquetra subsp amabilis,20150727
175,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709
176,Coleoptera,Polyphaga,Buprestidae,spA,Agrilus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150715
177,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
178,Hymenoptera,Aculeata,Halictidae,sp,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150707
179,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150711
180,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
181,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150709
182,Diptera,Brachycera,Tachinidae,majuscula,Meigenia_majuscula,parasitoid,Hormathophylla spinosa,20150711
183,Hymenoptera,Aculeata,Chrysididae,sp,Chrysididae,parasitoid,Hormathophylla spinosa,20150710
184,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150719
185,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150709
186,Hymenoptera,Aculeata,Pompilidae,spB,Pompilidae,predator,Arenaria tetraquetra subsp amabilis,20150710
187,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Hormathophylla spinosa,20150715
188,Diptera,Brachycera,Sarcophagidae,nigriventris,Sarcophaga_nigriventris,scavenger,Arenaria tetraquetra subsp amabilis,20150709
189,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Crepis oporinoides,20150717
190,Hymenoptera,Aculeata,Anthophoridae,valga,Xylocopa_valga,pollinator,Arenaria tetraquetra subsp amabilis,20150711
191,Hymenoptera,Aculeata,Colletidae,ibericus,Hylaeus,pollinator,Arenaria tetraquetra subsp amabilis,20150711
192,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150711
193,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150716
194,Coleoptera,Polyphaga,Coccinellidae,sp,Scymnus,predator,Jasione amethystina,20150706
195,Araneae,Opisthothelae,Salticidae,sp,Salticidae,predator,Arenaria tetraquetra subsp amabilis,20150706
196,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150711
197,Diptera,Brachycera,Sepsidae,thoracica,Sepsis,scavenger,Arenaria tetraquetra subsp amabilis,20150715
198,Hymenoptera,Aculeata,Megachilidae,ravouxi,Hoplitis_ravouxi,pollinator,Jasione amethystina,20150707
199,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Jasione amethystina,20150707
200,Hymenoptera,Aculeata,Vespidae,scoticus,Ancistrocerus,predator,Hormathophylla spinosa,20150709
201,Coleoptera,Polyphaga,Chrysomelidae,sp,Timarcha,herbivore,Hormathophylla spinosa,20150709
202,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_ravouxi,pollinator,Jasione amethystina,20150706
203,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150723
204,Hymenoptera,Parasitica,Braconidae,grahami,Ascogaster,parasitoid,Hormathophylla spinosa,20150724
205,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150710
206,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724
207,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724
208,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150724
209,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Lotus corniculatus subsp glacialis,20150709
210,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150710
211,Hymenoptera,Parasitica,Braconidae,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150707
212,Diptera,Brachycera,Bombyliidae,spA,Bombyliidae,pollinator,Arenaria tetraquetra subsp amabilis,20150723
213,Coleoptera,Polyphaga,Malachiidae,spA,Malachiinae,predator,Leontodon boryi,20150718
214,Diptera,Brachycera,Muscidae,culminum,Thricops,pollinator,Arenaria tetraquetra subsp amabilis,20150717
215,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150706
216,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Hormathophylla spinosa,20150706
217,Diptera,Brachycera,Therevidae,sp,Therevidae,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
218,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150706
219,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150716
220,Diptera,Brachycera,Sepsidae,sp,Sepsis,scavenger,Hormathophylla spinosa,20150716
221,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Hormathophylla spinosa,20150706
222,Coleoptera,Polyphaga,Chrysomelidae,sp,Galeruca,herbivore,Hormathophylla spinosa,20150706
223,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150708
224,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Arenaria tetraquetra subsp amabilis,20150707
225,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150707
226,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
227,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150714
228,Diptera,Brachycera,Tachinidae,tessellum,Macquartia_tessellum,parasitoid,Hormathophylla spinosa,20150719
229,Hymenoptera,Aculeata,Andrenidae,ovatula,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150709
230,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150724
231,Hymenoptera,Parasitica,Braconidae,spA,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150719
232,Diptera,Brachycera,Sepsidae,thoracica,Sepsis,scavenger,Hormathophylla spinosa,20150723
233,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Jasione amethystina,20150709
234,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Jasione amethystina,20150708
235,Coleoptera,Polyphaga,Malachiidae,spA,Malachiinae,predator,Crepis oporinoides,20150718
236,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150723
237,Coleoptera,Polyphaga,Curculionidae,sp,Curculioninae,herbivore,Arenaria tetraquetra subsp amabilis,20150706
238,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150716
239,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150716
240,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Crepis oporinoides,20150715
241,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150724
242,Hymenoptera,Aculeata,Pompilidae,spC,Pompilidae,predator,Hormathophylla spinosa,20150706
243,Hymenoptera,Aculeata,Megachilidae,sp,Osmia,pollinator,Chaenorhinum glareosum,20150714
244,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150715
245,Hymenoptera,Aculeata,Andrenidae,ovatula,Andrena,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150714
246,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
247,Hymenoptera,Aculeata,Megachilidae,sp,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150707
248,Hemiptera,Heteroptera,Lygaeidae,pandurus,Spilostethus_pandurus,herbivore,Jasione amethystina,20150708
249,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Hormathophylla spinosa,20150714
250,Hymenoptera,Aculeata,Vespidae,biglumis,Polistes_biglumis,predator,Arenaria tetraquetra subsp amabilis,20150707
251,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Arenaria tetraquetra subsp amabilis,20150707
252,Hymenoptera,Aculeata,Apidae,terrestris lusitanicus,Bombus_terrestris,pollinator,Arenaria tetraquetra subsp amabilis,20150711
253,Diptera,Brachycera,Tachinidae,capitata,Gonia_capitata,parasitoid,Arenaria tetraquetra subsp amabilis,20150711
254,Coleoptera,Polyphaga,Malachiidae,spA,Malachiinae,predator,Hormathophylla spinosa,20150723
255,Hymenoptera,Aculeata,Vespidae,scoticus,Ancistrocerus,predator,Arenaria tetraquetra subsp amabilis,20150710
256,Coleoptera,Polyphaga,Chrysomelidae,sp,Labidostomis,herbivore,Arenaria tetraquetra subsp amabilis,20150710
257,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150711
258,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150711
259,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150707
260,Diptera,Brachycera,Therevidae,sp,Therevidae,pollinator,Hormathophylla spinosa,20150710
261,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150724
262,Hymenoptera,Parasitica,Ichneumonidae,forticornis,Gelis,parasitoid,Arenaria tetraquetra subsp amabilis,20150719
263,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
264,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Chaenorhinum glareosum,20150707
265,Hymenoptera,Parasitica,Eurytomidae,sp,Bruchophagus,herbivore,Anthyllis vulneraria subsp pseudoarundana,20150719
266,Lepidoptera,Glossata,Scythrididae,iberica,Scythris,pollinator,Arenaria tetraquetra subsp amabilis,20150709
267,Hymenoptera,Parasitica,Ichneumonidae,fossae,Gelis,parasitoid,Hormathophylla spinosa,20150711
268,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Lotus corniculatus subsp glacialis,20150715
269,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Sideritis glacialis,20150714
270,Diptera,Brachycera,Lonchaeidae,sp,Lonchaeidae,herbivore,Arenaria tetraquetra subsp amabilis,20150723
271,Hymenoptera,Parasitica,Braconidae,spB,Chelonus,parasitoid,Arenaria tetraquetra subsp amabilis,20150723
272,Hymenoptera,Aculeata,Andrenidae,cephalotes,Panurgus_cephalotes,pollinator,Leontodon boryi,20150723
273,Hymenoptera,Aculeata,Megachilidae,montanum,Anthidium_montanum,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150716
274,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Leucanthemopsis pectinata,20150723
275,Lepidoptera,Rhopalocera,Lycaenidae,boeticus,Lampides_boeticus,pollinator,Sideritis glacialis,20150724
276,Lepidoptera,Rhopalocera,Pieridae,rapae,Pieris_rapae,pollinator,Hormathophylla spinosa,20150710
277,Lepidoptera,Rhopalocera,Lycaenidae,icarus,Polyommatus,pollinator,Arenaria tetraquetra subsp amabilis,20150708
278,Lepidoptera,Rhopalocera,Nymphalidae,lathonia,Issoria_lathonia,pollinator,Leucanthemopsis pectinata,20150727
279,Lepidoptera,Rhopalocera,Lycaenidae,belargus,Polyommatus,pollinator,Sideritis glacialis,20150709
282,Hymenoptera,Aculeata,Megachilidae,mitis granadae,Hoplitis_mitis,pollinator,Jasione amethystina,20150710
283,Diptera,Nematocera,Sciaridae,sp,Sciaridae,scavenger,Arenaria tetraquetra subsp amabilis,20150709
284,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
285,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
286,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
287,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
288,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
289,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
290,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
291,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Jasione amethystina,20150706
292,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
293,Diptera,Brachycera,Bombyliidae,spB,Bombyliidae,pollinator,Jasione amethystina,20150706
294,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
295,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150706
296,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
297,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150706
298,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150706
299,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150706
300,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150706
301,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
302,Hymenoptera,Aculeata,Apidae,vestalis,Bombus_vestalis,pollinator,Hormathophylla spinosa,20150707
303,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150707
304,Hymenoptera,Aculeata,Megachilidae,parietina,Megachile,pollinator,Anthyllis vulneraria subsp pseudoarundana,20150707
305,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150707
306,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Hormathophylla spinosa,20150707
307,Diptera,Brachycera,Syrphidae,albomaculata,Scaeva_albomaculata,pollinator,Lotus corniculatus subsp glacialis,20150707
308,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
309,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Hormathophylla spinosa,20150708
310,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
311,Hymenoptera,Aculeata,Apidae,mellifera,Apis_mellifera,pollinator,Arenaria tetraquetra subsp amabilis,20150708
312,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150708
313,Diptera,Brachycera,Syrphidae,tenax,Eristalis_tenax,pollinator,Arenaria tetraquetra subsp amabilis,20150708
314,Hymenoptera,Aculeata,Halictidae,cupromicans,Lasioglossum,pollinator,Jasione amethystina,20150708
